bodyType,color,condition,drive,engineDisplacement,enginePower,equipment,fuelType,mileage,modelDate,name,numberOfDoors,owners,price,productionDate,rabber,technicalPassport,vehicleTransmission
2,3,2,2,2.0,190,1,1,55654,2,20d,5,2,2417000,1,0,1,1
7,1,2,1,2.5,143,1,1,350000,24,525d,5,3,190000,21,0,1,2
1,1,2,2,2.0,249,1,2,62031,3,530i,4,1,2749000,1,0,1,1
2,1,2,2,3.0,272,1,2,210000,13,30i,5,1,990000,9,0,1,1
1,14,2,1,2.5,170,1,2,250000,24,523i,4,3,260000,20,1,1,1
2,5,2,2,3.0,286,1,1,178500,12,40d,5,3,1149900,10,0,1,1
2,1,2,2,3.0,249,1,1,68845,5,30d,5,2,3349000,2,0,1,1
2,1,2,2,3.0,218,1,1,290000,16,внедорожник,5,3,770000,14,0,1,1
1,2,2,2,3.0,249,1,1,131000,3,530d,4,1,3050000,2,0,1,1
2,5,2,2,3.0,286,1,1,178500,12,40d,5,3,1149900,10,0,1,1
2,5,2,2,3.0,258,1,1,120000,9,30d,5,2,1130000,8,0,1,1
1,2,2,2,3.0,249,1,1,131000,3,530d,4,1,3050000,2,0,1,1
2,1,2,2,3.0,245,1,1,245000,12,30d,5,2,1349000,9,0,1,1
3,1,2,1,1.6,115,1,2,170000,12,116i,5,3,400000,10,0,0,1
4,3,2,1,3.0,218,1,2,96000,12,125i,2,3,799000,11,1,0,1
2,6,2,2,4.4,575,1,2,50000,5,внедорожник,5,2,4500000,3,1,1,1
2,2,2,2,2.0,184,1,2,35000,5,20i,5,1,1875000,2,1,1,1
2,2,2,2,3.0,249,1,1,3935,0,30d,5,1,7250000,0,0,1,1
2,1,2,2,3.0,306,1,2,140000,12,35i,5,3,1250000,8,0,1,1
3,7,2,1,1.6,115,1,2,125994,12,116i,3,3,485000,11,1,1,1
2,2,2,2,3.0,306,3,2,100000,5,35i,5,3,2520000,4,0,1,1
2,8,2,2,2.0,177,1,1,155886,13,20d,5,1,670000,10,0,1,1
2,1,2,2,4.4,320,1,2,248424,16,внедорожник,5,2,550000,13,0,1,1
1,8,2,1,2.0,125,1,2,400000,38,520i,4,3,320000,36,0,1,2
